Завершил,Начал,Носитель,Формат,Тематика,Название,Автор,Оригинал,Оценка,Длина,Год,Рецензия,Ссылка,Язык,Теги
24.04.2013,10.04.2013,Видео,Курс,Веб-разработка,Advanced Theming for Drupal 7 Series,http://drupalize.me/,,5,231 мин.,2011,Отличный курс с множеством практических примеров. Всё понятно.,http://drupalize.me/series/advanced-theming-drupal-7-series,Английский,"Веб-разработка, Программирование, PHP, Темизация, Drupal"
19.04.2013,13.04.2013,Цифр. книга,Книга,Маркетинг,Маркетинг на 100%. Ремикс. Как стать хорошим менеджером по маркетингу,Игорь Манн,,5,384 стр.,2003,Прочитав книгу узнаеш всё самое важное о маркетинге и понимаешь куда двигаться дальше. Еще с книги можно взять очень много идей.,https://drive.google.com/?authuser=0#folders/0B10-UcWht3mDZmpnMXlKMVJlUk0,Русский,"Менеджмент, Продажи, Реклама, Копирайтинг"
17.04.2013,27.03.2013,Цифр. книга,Книга,Копирайтинг,Искусство создания рекламных посланий. Справочник выдающегося американского копирайтера,http://www.mann-ivanov-ferber.ru/authors/josephsugarman/,The Ultimate Guide to Writing Powerful Advertising and Marketing,5,448 стр.,2006,"Одна из лучших книг с грамотным подходом к обучению. Есть всё: теория, практика, жизненный опыт и интересные истории. В основном уклон на печатную рекламу, но описанные техники подходят для любых видов рекламы, где нужно писать текст. Автор очень долго занимается этим делом и описанный в книге опыт собирался на протяжении нескольких десятилетий.
Обязательно к прочтению.",https://drive.google.com/?authuser=0#folders/0B10-UcWht3mDdnM4bll1Mlp3dDg,Русский,"Маркетинг, Реклама, Бизнес"
10.04.2013,04.04.2013,Цифр. книга,Книга,Управление проектами,Джоэл. И снова о программировании,"http://ru.wikipedia.org/wiki/%D0%A1%D0%BF%D0%BE%D0%BB%D1%8C%D1%81%D0%BA%D0%B8,_%D0%94%D0%B6%D0%BE%D1%8D%D0%BB",Joel on Software,5,326 стр.,2008,,https://drive.google.com/?authuser=0#folders/0B10-UcWht3mDSVRqNEtvVFFJaW8,Русский,"Программирование, Мотиватор, Управление, Организация, ПО, Разработка, История, Найм, Microsoft, IBM, Кодирование"
09.04.2013,21.03.2013,Видео,Курс,Веб-разработка,JavaScript. Уровень 1. Основы веб-программирования,Специалист,,5,960 мин.,?,Очень подробно всё расказывают с примерами из личного опыта.,,Русский,"Программирование, Веб-разработка, JavaScript"
08.04.2013,06.04.2013,Цифр. книга,Книга,Бизнес,Rework: Бизнес без предрассудков,"Джейсон Фрайд, Дэвид Хайнемайер Хенссон",Rework,5,208 стр.,2011,"Очень насыщенный сборник советов по бизнесу. В отличии от многих тематических книг, эта написана реально успешной компанией и по этому к их советам можно прислушиваться. Их подход к работе не похож на остаьных, в успех этих принципов никто не верил, но они на своём примере доказали свою правоту.",https://drive.google.com/?authuser=0#folders/0B10-UcWht3mDakRlSFlNMU9yenc,Русский,"ПО, Советы, Менеджмент, Управление, Организация, Истории успеха, Маркетинг"
06.04.2013,03.04.2013,Видео,Курс,Веб-разработка,Theming Basics For Drupal 7 Series,http://drupalize.me/,,3,171 мин.,2011,Ничего нового не узнал. Для совсем зелёных друпалеров. Жутко растянуто и общаются как с отсталым.,http://drupalize.me/videos/introduction-theming-basics-drupal-7,Английский,"Веб-разработка, Программирование, PHP, Темизация, Drupal"
02.04.2013,02.04.2013,Цифр. книга,Книга,Растяжка,Укрепляем суставы,Павел Циуцлин,,4,128 стр.,2010,"Обьясняется что такое укрепление суставов, чем отличается от растяжки, для чего это нужно и как это делается.",,Русский,"Здоровье, Советы, Упражнения, Анатомия, Суставы, Подвижность"
01.04.2013,01.04.2013,Цифр. книга,Книга,Растяжка,Растяжка для каждого,Боб Андерсон,,3,224 стр.,2002,"В сравнении с другими книгами - выглядит как пособие для начинающих по лайтовой растяжке.
Много картинок и ""сборок"" упражнений для разных видов спорта.
Проповедуют релаксовую растяжку без боли.",,Русский,"Здоровье, Советы, Гибкость, Упражнения"
01.04.2013,21.01.2013,Книга,Книга,Веб-разработка,Профессиональная разработка сайтов на Drupal 7,Б. Мелансон и др.,The Definitive Guide to Drupal 7,4,688 стр.,2011,"Книга плохо структурированна, местами из-за плохого перевода невозможно понять о чём речь, встречаются ошибки в коде. 
Неплохо служит в качестве справочника, но информация быстро устаревает.
Советую читать в оригинале.",,Русский,"Веб-разработка, Программирование, PHP, Drush, Справочник, Drupal"
